id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
N   1,5331.40966796875,5345.5927734375,5675.75341796875,5446.15771484375,5964.5244140625,6121.81103515625,,,,,,,,,,,,
N   2,4215.59130859375,4259.92041015625,4196.7255859375,3936.984375,4259.05078125,4363.890625,,,,,,,,,,,,
N   3,3500.202392578125,3532.8896484375,3472.644775390625,3239.82763671875,3489.33740234375,3609.9541015625,,,,,,,,,,,,
N   4,4784.498046875,4785.9384765625,4907.49560546875,4680.2978515625,5084.42822265625,5188.0966796875,,,,,,,,,,,,
N   5,5293.40380859375,5380.45654296875,5324.7255859375,5061.85107421875,5362.416015625,5563.068359375,,,,,,,,,,,,
N   6,4220.966796875,4219.56591796875,4338.55810546875,4120.36279296875,4520.86669921875,4593.6474609375,,,,,,,,,,,,
N   7,5239.537109375,5256.19775390625,5338.7265625,5079.810546875,5554.49755859375,5653.7158203125,,,,,,,,,,,,
N   8,9186.9287109375,9443.451171875,10253.771484375,9895.796875,10755.0615234375,11152.7177734375,,,,,,,,,,,,
N   9,5198.95068359375,5199.7529296875,5231.0322265625,4919.97802734375,5313.57080078125,5450.96728515625,,,,,,,,,,,,
N  10,10136.98046875,10177.771484375,10702.419921875,10235.9931640625,11295.51953125,11559.41015625,,,,,,,,,,,,
N  11,5285.82421875,5275.228515625,5580.4814453125,5346.94384765625,5831.771484375,5958.7158203125,,,,,,,,,,,,
N  12,5356.63623046875,5401.58642578125,5755.3603515625,5534.45947265625,6047.3193359375,6222.19580078125,,,,,,,,,,,,
N  13,6360.84716796875,6376.23046875,6717.529296875,6432.27001953125,7078.11376953125,7253.98828125,,,,,,,,,,,,
N  14,3818.98876953125,3845.568359375,3859.994140625,3683.504150390625,3890.650390625,4005.11083984375,,,,,,,,,,,,
N  15,5595.4677734375,5588.642578125,5864.775390625,5601.17724609375,6149.75341796875,6273.11865234375,,,,,,,,,,,,
N  16,6004.99560546875,6014.89111328125,6138.41357421875,5817.53271484375,6370.5234375,6493.49658203125,,,,,,,,,,,,
N  17,6282.92529296875,6312.92626953125,6600.4443359375,6288.24560546875,6962.70849609375,7119.302734375,,,,,,,,,,,,
N  18,9375.2802734375,9333.6484375,9641.2177734375,9195.2509765625,9979.294921875,10155.2138671875,,,,,,,,,,,,
N  19,5889.92919921875,5904.162109375,6160.1328125,5872.81396484375,6487.96533203125,6625.1591796875,,,,,,,,,,,,
N  20,10860.056640625,11039.4375,11825.97265625,11373.37890625,12436.32421875,12796.5048828125,,,,,,,,,,,,
N  21,9467.2333984375,9473.9111328125,9851.708984375,9407.2822265625,10344.2060546875,10526.6669921875,,,,,,,,,,,,
